year,age,origin,uni,applicants,accepted,party,brexit
2006,19,International students,Scottish Universities,5470,490,Labour,Pre Brexit
2006,19,International students,Welsh Universities,3070,330,Labour,Pre Brexit
2006,19,Scottish students,English Universities,4720,650,Labour,Pre Brexit
2006,19,Scottish students,Northern Irish Universities,45,0,Labour,Pre Brexit
2006,19,Scottish students,Scottish Universities,27360,4690,Labour,Pre Brexit
2006,19,Scottish students,Welsh Universities,145,5,Labour,Pre Brexit
2006,19,Welsh students,English Universities,12000,1650,Labour,Pre Brexit
2006,19,Welsh students,Northern Irish Universities,10,0,Labour,Pre Brexit
2006,19,Welsh students,Scottish Universities,300,20,Labour,Pre Brexit
2006,19,Welsh students,Welsh Universities,11740,2550,Labour,Pre Brexit
2006,20,European students,English Universities,23910,3215,Labour,Pre Brexit
2006,20,European students,Northern Irish Universities,670,55,Labour,Pre Brexit
2006,20,European students,Scottish Universities,5240,960,Labour,Pre Brexit
2006,20,European students,Welsh Universities,950,150,Labour,Pre Brexit
2006,20,English students,English Universities,165740,27440,Labour,Pre Brexit
2006,20,English students,Northern Irish Universities,115,10,Labour,Pre Brexit
2006,20,English students,Scottish Universities,2445,230,Labour,Pre Brexit
2006,20,English students,Welsh Universities,4330,700,Labour,Pre Brexit
2006,20,Northern Irish students,English Universities,2635,340,Labour,Pre Brexit
2006,20,Northern Irish students,Northern Irish Universities,4430,600,Labour,Pre Brexit
2006,20,Northern Irish students,Scottish Universities,730,80,Labour,Pre Brexit
2006,20,Northern Irish students,Welsh Universities,100,10,Labour,Pre Brexit
2006,20,International students,English Universities,47140,5340,Labour,Pre Brexit
2006,20,International students,Northern Irish Universities,275,15,Labour,Pre Brexit
2006,20,International students,Scottish Universities,2920,300,Labour,Pre Brexit
2006,20,International students,Welsh Universities,2010,230,Labour,Pre Brexit
2006,20,Scottish students,English Universities,2190,300,Labour,Pre Brexit
2006,20,Scottish students,Northern Irish Universities,10,0,Labour,Pre Brexit
2006,20,Scottish students,Scottish Universities,14680,2920,Labour,Pre Brexit
2006,20,Scottish students,Welsh Universities,130,0,Labour,Pre Brexit
2006,20,Welsh students,English Universities,3560,540,Labour,Pre Brexit
2006,20,Welsh students,Northern Irish Universities,10,0,Labour,Pre Brexit
2006,20,Welsh students,Scottish Universities,75,10,Labour,Pre Brexit
2006,20,Welsh students,Welsh Universities,4125,960,Labour,Pre Brexit
2006,21 - 24,European students,English Universities,38065,5630,Labour,Pre Brexit
2006,21 - 24,European students,Northern Irish Universities,1010,90,Labour,Pre Brexit
2006,21 - 24,European students,Scottish Universities,8790,1790,Labour,Pre Brexit
2006,21 - 24,European students,Welsh Universities,1920,330,Labour,Pre Brexit
2006,21 - 24,English students,English Universities,216195,35265,Labour,Pre Brexit
2006,21 - 24,English students,Northern Irish Universities,170,10,Labour,Pre Brexit
2006,21 - 24,English students,Scottish Universities,3380,330,Labour,Pre Brexit
2006,21 - 24,English students,Welsh Universities,5650,830,Labour,Pre Brexit
2006,21 - 24,Northern Irish students,English Universities,3715,460,Labour,Pre Brexit
2006,21 - 24,Northern Irish students,Northern Irish Universities,6830,870,Labour,Pre Brexit
2006,21 - 24,Northern Irish students,Scottish Universities,950,100,Labour,Pre Brexit
2006,21 - 24,Northern Irish students,Welsh Universities,190,20,Labour,Pre Brexit
2006,21 - 24,International students,English Universities,62870,7010,Labour,Pre Brexit
2006,21 - 24,International students,Northern Irish Universities,385,10,Labour,Pre Brexit
2006,21 - 24,International students,Scottish Universities,5010,575,Labour,Pre Brexit
2006,21 - 24,International students,Welsh Universities,2635,260,Labour,Pre Brexit
2006,21 - 24,Scottish students,English Universities,3690,450,Labour,Pre Brexit
2006,21 - 24,Scottish students,Northern Irish Universities,40,0,Labour,Pre Brexit
2006,21 - 24,Scottish students,Scottish Universities,22510,4600,Labour,Pre Brexit
2006,21 - 24,Scottish students,Welsh Universities,185,25,Labour,Pre Brexit
2006,21 - 24,Welsh students,English Universities,5120,590,Labour,Pre Brexit
2006,21 - 24,Welsh students,Northern Irish Universities,15,0,Labour,Pre Brexit
2006,21 - 24,Welsh students,Scottish Universities,140,15,Labour,Pre Brexit
2006,21 - 24,Welsh students,Welsh Universities,6315,1540,Labour,Pre Brexit
2006,25 - 29,European students,English Universities,9955,1355,Labour,Pre Brexit
2006,25 - 29,European students,Northern Irish Universities,300,30,Labour,Pre Brexit
2006,25 - 29,European students,Scottish Universities,1620,270,Labour,Pre Brexit
2006,25 - 29,European students,Welsh Universities,640,90,Labour,Pre Brexit
2006,25 - 29,English students,English Universities,89850,15430,Labour,Pre Brexit
2006,25 - 29,English students,Northern Irish Universities,140,0,Labour,Pre Brexit
2006,25 - 29,English students,Scottish Universities,1505,130,Labour,Pre Brexit
2006,25 - 29,English students,Welsh Universities,2295,285,Labour,Pre Brexit
2006,25 - 29,Northern Irish students,English Universities,910,105,Labour,Pre Brexit
2006,25 - 29,Northern Irish students,Northern Irish Universities,2755,380,Labour,Pre Brexit
2006,25 - 29,Northern Irish students,Scottish Universities,245,30,Labour,Pre Brexit
2006,25 - 29,Northern Irish students,Welsh Universities,50,0,Labour,Pre Brexit
2006,25 - 29,International students,English Universities,23125,2500,Labour,Pre Brexit
2006,25 - 29,International students,Northern Irish Universities,120,5,Labour,Pre Brexit
2006,25 - 29,International students,Scottish Universities,2535,300,Labour,Pre Brexit
2006,25 - 29,International students,Welsh Universities,1000,80,Labour,Pre Brexit
2006,25 - 29,Scottish students,English Universities,1700,185,Labour,Pre Brexit
2006,25 - 29,Scottish students,Northern Irish Universities,30,0,Labour,Pre Brexit
2006,25 - 29,Scottish students,Scottish Universities,8980,2030,Labour,Pre Brexit
2006,25 - 29,Scottish students,Welsh Universities,75,5,Labour,Pre Brexit
2006,25 - 29,Welsh students,English Universities,1640,175,Labour,Pre Brexit
2006,25 - 29,Welsh students,Scottish Universities,45,5,Labour,Pre Brexit
2006,25 - 29,Welsh students,Welsh Universities,3130,805,Labour,Pre Brexit
2006,30 - 34,European students,English Universities,2160,240,Labour,Pre Brexit
2006,30 - 34,European students,Northern Irish Universities,70,10,Labour,Pre Brexit
2006,30 - 34,European students,Scottish Universities,290,40,Labour,Pre Brexit
2006,30 - 34,European students,Welsh Universities,180,30,Labour,Pre Brexit
2006,30 - 34,English students,English Universities,47830,8870,Labour,Pre Brexit
2006,30 - 34,English students,Northern Irish Universities,40,0,Labour,Pre Brexit
2006,30 - 34,English students,Scottish Universities,600,60,Labour,Pre Brexit
2006,30 - 34,English students,Welsh Universities,880,105,Labour,Pre Brexit
2006,30 - 34,Northern Irish students,English Universities,235,20,Labour,Pre Brexit
2006,30 - 34,Northern Irish students,Northern Irish Universities,1610,220,Labour,Pre Brexit
2006,30 - 34,Northern Irish students,Scottish Universities,80,15,Labour,Pre Brexit
2006,30 - 34,Northern Irish students,Welsh Universities,10,0,Labour,Pre Brexit
2006,30 - 34,International students,English Universities,7690,820,Labour,Pre Brexit
2006,30 - 34,International students,Northern Irish Universities,40,0,Labour,Pre Brexit
2006,30 - 34,International students,Scottish Universities,950,130,Labour,Pre Brexit
2006,30 - 34,International students,Welsh Universities,355,40,Labour,Pre Brexit
2006,30 - 34,Scottish students,English Universities,600,40,Labour,Pre Brexit
2006,30 - 34,Scottish students,Northern Irish Universities,20,0,Labour,Pre Brexit
2006,30 - 34,Scottish students,Scottish Universities,4240,1055,Labour,Pre Brexit
2006,30 - 34,Scottish students,Welsh Universities,45,5,Labour,Pre Brexit
2006,30 - 34,Welsh students,English Universities,540,60,Labour,Pre Brexit
2006,30 - 34,Welsh students,Scottish Universities,20,0,Labour,Pre Brexit
2006,30 - 34,Welsh students,Welsh Universities,2030,595,Labour,Pre Brexit
2006,35 and over,European students,English Universities,1100,120,Labour,Pre Brexit
2006,35 and over,European students,Northern Irish Universities,150,15,Labour,Pre Brexit
2006,35 and over,European students,Scottish Universities,115,20,Labour,Pre Brexit
2006,35 and over,European students,Welsh Universities,80,10,Labour,Pre Brexit
2006,35 and over,English students,English Universities,68340,15900,Labour,Pre Brexit
2006,35 and over,English students,Northern Irish Universities,25,0,Labour,Pre Brexit
2006,35 and over,English students,Scottish Universities,590,40,Labour,Pre Brexit
2006,35 and over,English students,Welsh Universities,890,140,Labour,Pre Brexit
2006,35 and over,Northern Irish students,English Universities,120,20,Labour,Pre Brexit
2006,35 and over,Northern Irish students,Northern Irish Universities,2120,340,Labour,Pre Brexit
2006,35 and over,Northern Irish students,Scottish Universities,20,0,Labour,Pre Brexit
2006,35 and over,Northern Irish students,Welsh Universities,10,0,Labour,Pre Brexit
2006,35 and over,International students,English Universities,4725,500,Labour,Pre Brexit
2006,35 and over,International students,Northern Irish Universities,20,0,Labour,Pre Brexit
2006,35 and over,International students,Scottish Universities,550,50,Labour,Pre Brexit
2006,35 and over,International students,Welsh Universities,240,30,Labour,Pre Brexit
2006,35 and over,Scottish students,English Universities,475,60,Labour,Pre Brexit
2006,35 and over,Scottish students,Northern Irish Universities,5,0,Labour,Pre Brexit
2006,35 and over,Scottish students,Scottish Universities,6890,1935,Labour,Pre Brexit
2006,35 and over,Scottish students,Welsh Universities,20,0,Labour,Pre Brexit
2006,35 and over,Welsh students,English Universities,730,90,Labour,Pre Brexit
2006,35 and over,Welsh students,Scottish Universities,25,0,Labour,Pre Brexit
2006,35 and over,Welsh students,Welsh Universities,3385,1045,Labour,Pre Brexit
2007,17 and under,European students,English Universities,22250,2200,Labour,Pre Brexit
2007,17 and under,European students,Northern Irish Universities,1790,170,Labour,Pre Brexit
2007,17 and under,European students,Scottish Universities,2730,210,Labour,Pre Brexit
2007,17 and under,European students,Welsh Universities,860,55,Labour,Pre Brexit
2007,17 and under,English students,English Universities,13010,1800,Labour,Pre Brexit
2007,17 and under,English students,Northern Irish Universities,20,0,Labour,Pre Brexit
2007,17 and under,English students,Scottish Universities,760,70,Labour,Pre Brexit
2007,17 and under,English students,Welsh Universities,405,50,Labour,Pre Brexit
2007,17 and under,Northern Irish students,English Universities,280,30,Labour,Pre Brexit
2007,17 and under,Northern Irish students,Northern Irish Universities,330,50,Labour,Pre Brexit
2007,17 and under,Northern Irish students,Scottish Universities,110,10,Labour,Pre Brexit
2007,17 and under,Northern Irish students,Welsh Universities,10,0,Labour,Pre Brexit
2007,17 and under,International students,English Universities,23490,1980,Labour,Pre Brexit
2007,17 and under,International students,Northern Irish Universities,90,0,Labour,Pre Brexit
2007,17 and under,International students,Scottish Universities,1790,185,Labour,Pre Brexit
2007,17 and under,International students,Welsh Universities,860,70,Labour,Pre Brexit
2007,17 and under,Scottish students,English Universities,590,60,Labour,Pre Brexit
2007,17 and under,Scottish students,Northern Irish Universities,5,0,Labour,Pre Brexit
2007,17 and under,Scottish students,Scottish Universities,8810,1220,Labour,Pre Brexit
2007,17 and under,Scottish students,Welsh Universities,15,0,Labour,Pre Brexit
2007,17 and under,Welsh students,English Universities,460,60,Labour,Pre Brexit
2007,17 and under,Welsh students,Scottish Universities,30,0,Labour,Pre Brexit
2007,17 and under,Welsh students,Welsh Universities,140,40,Labour,Pre Brexit
2007,18,European students,English Universities,67580,7210,Labour,Pre Brexit
2007,18,European students,Northern Irish Universities,3580,300,Labour,Pre Brexit
2007,18,European students,Scottish Universities,11210,940,Labour,Pre Brexit
2007,18,European students,Welsh Universities,2770,280,Labour,Pre Brexit
2007,18,English students,English Universities,1928280,275875,Labour,Pre Brexit
2007,18,English students,Northern Irish Universities,1520,140,Labour,Pre Brexit
2007,18,English students,Scottish Universities,56565,4520,Labour,Pre Brexit
2007,18,English students,Welsh Universities,70105,10260,Labour,Pre Brexit
2007,18,Northern Irish students,English Universities,36555,3785,Labour,Pre Brexit
2007,18,Northern Irish students,Northern Irish Universities,71200,10900,Labour,Pre Brexit
2007,18,Northern Irish students,Scottish Universities,16485,1465,Labour,Pre Brexit
2007,18,Northern Irish students,Welsh Universities,1590,110,Labour,Pre Brexit
2007,18,International students,English Universities,106860,11125,Labour,Pre Brexit
2007,18,International students,Northern Irish Universities,340,20,Labour,Pre Brexit
2007,18,International students,Scottish Universities,8430,850,Labour,Pre Brexit
2007,18,International students,Welsh Universities,3590,380,Labour,Pre Brexit
2007,18,Scottish students,English Universities,11275,1205,Labour,Pre Brexit
2007,18,Scottish students,Northern Irish Universities,160,10,Labour,Pre Brexit
2007,18,Scottish students,Scottish Universities,157030,23870,Labour,Pre Brexit
2007,18,Scottish students,Welsh Universities,290,25,Labour,Pre Brexit
2007,18,Welsh students,English Universities,56130,5935,Labour,Pre Brexit
2007,18,Welsh students,Northern Irish Universities,120,10,Labour,Pre Brexit
2007,18,Welsh students,Scottish Universities,1580,115,Labour,Pre Brexit
2007,18,Welsh students,Welsh Universities,54440,11020,Labour,Pre Brexit
2007,19,European students,English Universities,55200,6320,Labour,Pre Brexit
2007,19,European students,Northern Irish Universities,1460,150,Labour,Pre Brexit
2007,19,European students,Scottish Universities,10700,1220,Labour,Pre Brexit
2007,19,European students,Welsh Universities,2170,300,Labour,Pre Brexit
2007,19,English students,English Universities,610840,98410,Labour,Pre Brexit
2007,19,English students,Northern Irish Universities,520,30,Labour,Pre Brexit
2007,19,English students,Scottish Universities,13300,1400,Labour,Pre Brexit
2007,19,English students,Welsh Universities,18270,3020,Labour,Pre Brexit
2007,19,Northern Irish students,English Universities,7075,850,Labour,Pre Brexit
2007,19,Northern Irish students,Northern Irish Universities,11880,1940,Labour,Pre Brexit
2007,19,Northern Irish students,Scottish Universities,2180,240,Labour,Pre Brexit
2007,19,Northern Irish students,Welsh Universities,350,40,Labour,Pre Brexit
2007,19,International students,English Universities,96030,10380,Labour,Pre Brexit
2007,19,International students,Northern Irish Universities,360,20,Labour,Pre Brexit
2007,19,International students,Scottish Universities,5710,590,Labour,Pre Brexit
2007,19,International students,Welsh Universities,3240,380,Labour,Pre Brexit
2007,19,Scottish students,English Universities,5240,660,Labour,Pre Brexit
2007,19,Scottish students,Northern Irish Universities,50,0,Labour,Pre Brexit
2007,19,Scottish students,Scottish Universities,29590,5150,Labour,Pre Brexit
2007,19,Scottish students,Welsh Universities,175,5,Labour,Pre Brexit
2007,19,Welsh students,English Universities,13790,1870,Labour,Pre Brexit
2007,19,Welsh students,Northern Irish Universities,20,0,Labour,Pre Brexit
2007,19,Welsh students,Scottish Universities,415,40,Labour,Pre Brexit
2007,19,Welsh students,Welsh Universities,13400,3130,Labour,Pre Brexit
2007,20,European students,English Universities,27700,3675,Labour,Pre Brexit
2007,20,European students,Northern Irish Universities,620,70,Labour,Pre Brexit
2007,20,European students,Scottish Universities,6220,1130,Labour,Pre Brexit
2007,20,European students,Welsh Universities,970,150,Labour,Pre Brexit
2007,20,English students,English Universities,184830,30000,Labour,Pre Brexit
2007,20,English students,Northern Irish Universities,150,25,Labour,Pre Brexit
2007,20,English students,Scottish Universities,2550,280,Labour,Pre Brexit
2007,20,English students,Welsh Universities,4220,640,Labour,Pre Brexit
2007,20,Northern Irish students,English Universities,2810,360,Labour,Pre Brexit
2007,20,Northern Irish students,Northern Irish Universities,4055,680,Labour,Pre Brexit
2007,20,Northern Irish students,Scottish Universities,810,90,Labour,Pre Brexit
2007,20,Northern Irish students,Welsh Universities,110,15,Labour,Pre Brexit
2007,20,International students,English Universities,49660,5550,Labour,Pre Brexit
2007,20,International students,Northern Irish Universities,200,10,Labour,Pre Brexit
2007,20,International students,Scottish Universities,3095,325,Labour,Pre Brexit
2007,20,International students,Welsh Universities,2220,300,Labour,Pre Brexit
2007,20,Scottish students,English Universities,2320,300,Labour,Pre Brexit
2007,20,Scottish students,Northern Irish Universities,25,0,Labour,Pre Brexit
2007,20,Scottish students,Scottish Universities,16640,3120,Labour,Pre Brexit
2007,20,Scottish students,Welsh Universities,90,5,Labour,Pre Brexit
2007,20,Welsh students,English Universities,3820,545,Labour,Pre Brexit
2007,20,Welsh students,Scottish Universities,110,20,Labour,Pre Brexit
2007,20,Welsh students,Welsh Universities,4595,1090,Labour,Pre Brexit
2007,21 - 24,European students,English Universities,39890,5585,Labour,Pre Brexit
2007,21 - 24,European students,Northern Irish Universities,1160,110,Labour,Pre Brexit
2007,21 - 24,European students,Scottish Universities,10610,2205,Labour,Pre Brexit
2007,21 - 24,European students,Welsh Universities,1870,310,Labour,Pre Brexit
2007,21 - 24,English students,English Universities,240665,39245,Labour,Pre Brexit
2007,21 - 24,English students,Northern Irish Universities,270,15,Labour,Pre Brexit
2007,21 - 24,English students,Scottish Universities,3485,360,Labour,Pre Brexit
2007,21 - 24,English students,Welsh Universities,5760,835,Labour,Pre Brexit
2007,21 - 24,Northern Irish students,English Universities,4030,530,Labour,Pre Brexit
2007,21 - 24,Northern Irish students,Northern Irish Universities,6850,970,Labour,Pre Brexit
2007,21 - 24,Northern Irish students,Scottish Universities,1000,125,Labour,Pre Brexit
2007,21 - 24,Northern Irish students,Welsh Universities,180,20,Labour,Pre Brexit
2007,21 - 24,International students,English Universities,61960,6810,Labour,Pre Brexit
2007,21 - 24,International students,Northern Irish Universities,365,25,Labour,Pre Brexit
2007,21 - 24,International students,Scottish Universities,4670,710,Labour,Pre Brexit
2007,21 - 24,International students,Welsh Universities,2705,330,Labour,Pre Brexit
2007,21 - 24,Scottish students,English Universities,3990,550,Labour,Pre Brexit
2007,21 - 24,Scottish students,Northern Irish Universities,85,10,Labour,Pre Brexit
2007,21 - 24,Scottish students,Scottish Universities,25190,5075,Labour,Pre Brexit
2007,21 - 24,Scottish students,Welsh Universities,155,15,Labour,Pre Brexit
2007,21 - 24,Welsh students,English Universities,5240,620,Labour,Pre Brexit
2007,21 - 24,Welsh students,Northern Irish Universities,20,0,Labour,Pre Brexit
2007,21 - 24,Welsh students,Scottish Universities,140,0,Labour,Pre Brexit
2007,21 - 24,Welsh students,Welsh Universities,6780,1730,Labour,Pre Brexit
2007,25 - 29,European students,English Universities,9750,1380,Labour,Pre Brexit
2007,25 - 29,European students,Northern Irish Universities,360,35,Labour,Pre Brexit
2007,25 - 29,European students,Scottish Universities,1800,270,Labour,Pre Brexit
2007,25 - 29,European students,Welsh Universities,535,110,Labour,Pre Brexit
2007,25 - 29,English students,English Universities,95730,16590,Labour,Pre Brexit
2007,25 - 29,English students,Northern Irish Universities,140,0,Labour,Pre Brexit
2007,25 - 29,English students,Scottish Universities,1330,110,Labour,Pre Brexit
2007,25 - 29,English students,Welsh Universities,1875,280,Labour,Pre Brexit
2007,25 - 29,Northern Irish students,English Universities,765,70,Labour,Pre Brexit
2007,25 - 29,Northern Irish students,Northern Irish Universities,2970,450,Labour,Pre Brexit
2007,25 - 29,Northern Irish students,Scottish Universities,220,30,Labour,Pre Brexit
2007,25 - 29,Northern Irish students,Welsh Universities,40,0,Labour,Pre Brexit
2007,25 - 29,International students,English Universities,20180,2140,Labour,Pre Brexit
2007,25 - 29,International students,Northern Irish Universities,115,10,Labour,Pre Brexit
2007,25 - 29,International students,Scottish Universities,2440,370,Labour,Pre Brexit
2007,25 - 29,International students,Welsh Universities,945,115,Labour,Pre Brexit
2007,25 - 29,Scottish students,English Universities,1500,180,Labour,Pre Brexit
2007,25 - 29,Scottish students,Northern Irish Universities,30,0,Labour,Pre Brexit
2007,25 - 29,Scottish students,Scottish Universities,10290,2200,Labour,Pre Brexit
2007,25 - 29,Scottish students,Welsh Universities,50,0,Labour,Pre Brexit
2007,25 - 29,Welsh students,English Universities,1710,210,Labour,Pre Brexit
2007,25 - 29,Welsh students,Northern Irish Universities,10,0,Labour,Pre Brexit
2007,25 - 29,Welsh students,Scottish Universities,50,0,Labour,Pre Brexit
2007,25 - 29,Welsh students,Welsh Universities,3255,890,Labour,Pre Brexit
2007,30 - 34,European students,English Universities,1990,250,Labour,Pre Brexit
2007,30 - 34,European students,Northern Irish Universities,140,20,Labour,Pre Brexit
2007,30 - 34,European students,Scottish Universities,350,50,Labour,Pre Brexit
2007,30 - 34,European students,Welsh Universities,125,20,Labour,Pre Brexit
2007,30 - 34,English students,English Universities,47355,8890,Labour,Pre Brexit
2007,30 - 34,English students,Northern Irish Universities,30,0,Labour,Pre Brexit
2007,30 - 34,English students,Scottish Universities,550,40,Labour,Pre Brexit
2007,30 - 34,English students,Welsh Universities,780,80,Labour,Pre Brexit
2007,30 - 34,Northern Irish students,English Universities,195,20,Labour,Pre Brexit
2007,30 - 34,Northern Irish students,Northern Irish Universities,1220,220,Labour,Pre Brexit
2007,30 - 34,Northern Irish students,Scottish Universities,30,5,Labour,Pre Brexit
2007,30 - 34,Northern Irish students,Welsh Universities,10,0,Labour,Pre Brexit
2007,30 - 34,International students,English Universities,7160,720,Labour,Pre Brexit
2007,30 - 34,International students,Northern Irish Universities,40,0,Labour,Pre Brexit
2007,30 - 34,International students,Scottish Universities,870,100,Labour,Pre Brexit
2007,30 - 34,International students,Welsh Universities,270,30,Labour,Pre Brexit
2007,30 - 34,Scottish students,English Universities,490,60,Labour,Pre Brexit
2007,30 - 34,Scottish students,Northern Irish Universities,10,0,Labour,Pre Brexit
2007,30 - 34,Scottish students,Scottish Universities,4250,1005,Labour,Pre Brexit
2007,30 - 34,Scottish students,Welsh Universities,40,0,Labour,Pre Brexit
2007,30 - 34,Welsh students,English Universities,550,70,Labour,Pre Brexit
2007,30 - 34,Welsh students,Scottish Universities,20,0,Labour,Pre Brexit
2007,30 - 34,Welsh students,Welsh Universities,2015,600,Labour,Pre Brexit
2007,35 and over,European students,English Universities,1170,145,Labour,Pre Brexit
2007,35 and over,European students,Northern Irish Universities,120,20,Labour,Pre Brexit
2007,35 and over,European students,Scottish Universities,210,25,Labour,Pre Brexit
2007,35 and over,European students,Welsh Universities,80,10,Labour,Pre Brexit
2007,35 and over,English students,English Universities,70345,16275,Labour,Pre Brexit
2007,35 and over,English students,Northern Irish Universities,30,0,Labour,Pre Brexit
2007,35 and over,English students,Scottish Universities,520,50,Labour,Pre Brexit
2007,35 and over,English students,Welsh Universities,730,120,Labour,Pre Brexit
2007,35 and over,Northern Irish students,English Universities,120,15,Labour,Pre Brexit
2007,35 and over,Northern Irish students,Northern Irish Universities,2160,385,Labour,Pre Brexit
2007,35 and over,Northern Irish students,Scottish Universities,20,0,Labour,Pre Brexit
2007,35 and over,Northern Irish students,Welsh Universities,5,0,Labour,Pre Brexit
2007,35 and over,International students,English Universities,4290,465,Labour,Pre Brexit
2007,35 and over,International students,Northern Irish Universities,30,0,Labour,Pre Brexit
2007,35 and over,International students,Scottish Universities,540,85,Labour,Pre Brexit
2007,35 and over,International students,Welsh Universities,220,30,Labour,Pre Brexit
2007,35 and over,Scottish students,English Universities,475,70,Labour,Pre Brexit
2007,35 and over,Scottish students,Northern Irish Universities,10,0,Labour,Pre Brexit
2007,35 and over,Scottish students,Scottish Universities,6955,1865,Labour,Pre Brexit
2007,35 and over,Scottish students,Welsh Universities,45,10,Labour,Pre Brexit
2007,35 and over,Welsh students,English Universities,740,70,Labour,Pre Brexit
2007,35 and over,Welsh students,Northern Irish Universities,5,0,Labour,Pre Brexit
2007,35 and over,Welsh students,Scottish Universities,30,10,Labour,Pre Brexit
2007,35 and over,Welsh students,Welsh Universities,3390,1040,Labour,Pre Brexit
2008,17 and under,European students,English Universities,17280,2030,Labour,Pre Brexit
2008,17 and under,European students,Northern Irish Universities,940,90,Labour,Pre Brexit
2008,17 and under,European students,Scottish Universities,2515,230,Labour,Pre Brexit
2008,17 and under,European students,Welsh Universities,680,55,Labour,Pre Brexit
2008,17 and under,English students,English Universities,11155,1840,Labour,Pre Brexit
